Timestamp,Mode,Front_Dist_cm,Left_Dist_cm,Right_Dist_cm,Action,Notes
19:51:54.152,lidar,999.0,999.0,999.0,DRIVE,L=0.55 R=0.55
19:51:54.168,lidar,999.0,999.0,999.0,DRIVE,L=0.55 R=0.55
19:51:54.184,lidar,999.0,999.0,999.0,DRIVE,L=0.55 R=0.55
19:51:54.200,lidar,999.0,122.1,999.0,DRIVE,L=0.55 R=0.55
19:51:54.216,lidar,62.0,145.2,999.0,DRIVE,L=0.55 R=0.55
19:51:54.232,lidar,53.5,145.2,54.1,DRIVE,L=0.15 R=0.35
19:51:54.249,lidar,53.5,145.2,65.2,DRIVE,L=0.15 R=0.35
19:51:54.265,lidar,53.5,145.2,65.2,DRIVE,L=0.15 R=0.35
19:51:54.281,lidar,53.5,145.2,65.2,DRIVE,L=0.15 R=0.35
19:51:54.297,lidar,53.5,112.9,65.2,DRIVE,L=0.15 R=0.35
19:51:54.313,lidar,67.5,143.2,65.2,DRIVE,L=0.55 R=0.55
19:51:54.329,lidar,52.6,143.2,30.0,DRIVE,L=0.12 R=0.38
19:51:54.345,lidar,52.6,143.2,60.2,DRIVE,L=0.15 R=0.35
19:51:54.362,lidar,52.6,143.2,60.2,DRIVE,L=0.15 R=0.35
19:51:54.378,lidar,52.6,143.2,60.2,DRIVE,L=0.15 R=0.35
19:51:54.394,lidar,52.6,78.8,60.2,DRIVE,L=0.15 R=0.35
19:51:54.410,lidar,52.6,135.3,60.2,DRIVE,L=0.15 R=0.35
19:51:54.426,lidar,46.4,140.2,69.9,DRIVE,L=0.15 R=0.35
19:51:54.442,lidar,46.4,140.2,49.6,DRIVE,L=0.15 R=0.35
19:51:54.458,lidar,46.4,140.2,49.6,DRIVE,L=0.15 R=0.35
19:51:54.474,lidar,46.4,140.2,49.6,DRIVE,L=0.15 R=0.35
19:51:54.490,lidar,46.4,140.2,49.6,DRIVE,L=0.15 R=0.35
19:51:54.506,lidar,46.4,131.3,49.6,DRIVE,L=0.15 R=0.35
19:51:54.523,lidar,57.3,135.0,49.6,DRIVE,L=0.55 R=0.55
19:51:54.539,lidar,56.4,135.0,42.4,DRIVE,L=0.55 R=0.55
19:51:54.555,lidar,56.4,135.0,34.5,DRIVE,L=0.55 R=0.55
19:51:54.571,lidar,56.4,135.0,34.5,DRIVE,L=0.55 R=0.55
19:51:54.587,lidar,56.4,135.0,34.5,DRIVE,L=0.55 R=0.55
19:51:54.603,lidar,56.4,112.5,34.5,DRIVE,L=0.55 R=0.55
19:51:54.619,lidar,84.4,131.6,34.5,DRIVE,L=0.55 R=0.55
19:51:54.635,lidar,52.7,131.6,70.0,DRIVE,L=0.15 R=0.35
19:51:54.651,lidar,52.7,131.6,26.4,DRIVE,L=0.11 R=0.39
19:51:54.668,lidar,52.7,131.6,26.4,DRIVE,L=0.11 R=0.39
19:51:54.684,lidar,52.7,131.6,26.4,DRIVE,L=0.11 R=0.39
19:51:54.700,lidar,52.7,102.0,26.4,DRIVE,L=0.11 R=0.39
19:51:54.716,lidar,70.7,126.5,26.4,DRIVE,L=0.51 R=0.59
19:51:54.732,lidar,48.7,126.5,60.9,DRIVE,L=0.15 R=0.35
19:51:54.748,lidar,48.7,126.5,41.3,DRIVE,L=0.15 R=0.35
19:51:54.764,lidar,48.7,126.5,41.3,DRIVE,L=0.15 R=0.35
19:51:54.781,lidar,48.7,126.5,41.3,DRIVE,L=0.15 R=0.35
19:51:54.797,lidar,48.7,73.7,41.3,DRIVE,L=0.15 R=0.35
19:51:54.813,lidar,48.7,123.9,41.3,DRIVE,L=0.15 R=0.35
19:51:54.829,lidar,54.6,123.2,47.2,DRIVE,L=0.15 R=0.35
19:51:54.845,lidar,54.6,123.2,24.4,DRIVE,L=0.10 R=0.40
19:51:54.861,lidar,54.6,123.2,24.0,DRIVE,L=0.10 R=0.41
19:51:54.877,lidar,54.6,123.2,24.0,DRIVE,L=0.10 R=0.41
19:51:54.893,lidar,54.6,123.2,24.0,DRIVE,L=0.10 R=0.41
19:51:54.909,lidar,54.6,127.9,24.0,DRIVE,L=0.10 R=0.41
